payment_id,customer_id,amount,payment_method,failure_reason,previous_attempts,successful_payments,failed_payments,customer_success_rate,expected_recovery,expected_action
pay_syn_001,cust_syn_001,3500.0,UPI,Temporary bank error,0,12,1,0.92,true,RETRY
pay_syn_002,cust_syn_002,2000.0,Card,Temporary network timeout,1,8,2,0.80,false,ESCALATE
pay_syn_003,cust_syn_003,3200.0,Netbanking,Unknown gateway timeout error,0,2,3,0.40,false,ESCALATE
pay_syn_004,cust_syn_004,25000.0,Card,Temporary bank connection timeout,0,15,1,0.94,false,ESCALATE
pay_syn_005,cust_syn_005,1800.0,UPI,Insufficient funds in account,0,5,1,0.83,false,REMINDER
pay_syn_006,cust_syn_006,4200.0,Card,Expired card details,0,10,2,0.83,false,REMINDER
pay_syn_007,cust_syn_007,2800.0,UPI,Temporary bank error,0,14,0,1.00,true,RETRY
pay_syn_008,cust_syn_008,1500.0,Card,Authentication OTP failure,0,7,2,0.78,false,REMINDER
pay_syn_009,cust_syn_009,8500.0,Netbanking,Unknown error code 99,0,3,4,0.43,false,ESCALATE
pay_syn_010,cust_syn_010,3100.0,UPI,Temporary bank error,0,9,1,0.90,true,RETRY
pay_syn_011,cust_syn_011,4900.0,Card,Temporary network timeout,0,11,1,0.92,true,RETRY
pay_syn_012,cust_syn_012,6200.0,Card,Temporary network timeout,0,18,2,0.90,false,ESCALATE
pay_syn_013,cust_syn_013,1200.0,UPI,Insufficient funds in account,0,4,3,0.57,false,REMINDER
pay_syn_014,cust_syn_014,3500.0,UPI,Temporary bank error,1,10,2,0.83,false,ESCALATE
pay_syn_015,cust_syn_015,2200.0,Card,Temporary network error,0,8,0,1.00,true,RETRY
pay_syn_016,cust_syn_016,1900.0,UPI,Temporary bank error,0,6,1,0.86,true,RETRY
pay_syn_017,cust_syn_017,4500.0,Card,Card payment gateway timeout,0,13,1,0.93,true,RETRY
pay_syn_018,cust_syn_018,15000.0,UPI,Temporary bank error,0,20,1,0.95,false,ESCALATE
pay_syn_019,cust_syn_019,2700.0,Netbanking,Bank server maintenance,0,9,1,0.90,true,RETRY
pay_syn_020,cust_syn_020,3800.0,UPI,Temporary bank error,0,15,2,0.88,true,RETRY
pay_syn_021,cust_syn_021,1100.0,Card,Insufficient funds,0,2,2,0.50,false,REMINDER
pay_syn_022,cust_syn_022,3400.0,UPI,Temporary network error,0,10,1,0.91,true,RETRY
pay_syn_023,cust_syn_023,4100.0,Card,Temporary bank error,0,12,0,1.00,true,RETRY
pay_syn_024,cust_syn_024,18000.0,Netbanking,Temporary bank error,0,8,1,0.89,false,ESCALATE
